Date,Open,High,Low,Close,Adj Close,Volume
2022-02-01,240.0,243.58999633789062,235.82000732421875,242.22000122070312,241.77439880371094,795600
2022-02-02,242.7899932861328,245.27000427246094,242.7899932861328,245.1699981689453,244.71897888183594,857000
2022-02-03,242.22000122070312,242.6999969482422,232.4600067138672,233.4499969482422,233.02053833007812,1082200
2022-02-04,233.5800018310547,236.50999450683594,232.3800048828125,234.07000732421875,233.639404296875,988000
2022-02-07,235.74000549316406,237.5800018310547,233.72999572753906,234.42999267578125,233.9987335205078,1039700
2022-02-08,234.4600067138672,238.1699981689453,230.38999938964844,236.07000732421875,235.63572692871094,977500
2022-02-09,239.72999572753906,241.69000244140625,238.60000610351562,240.39999389648438,239.95774841308594,923400
2022-02-10,231.83999633789062,239.85000610351562,229.39999389648438,231.1699981689453,230.74473571777344,1745700
2022-02-11,231.38999938964844,233.14999389648438,222.97999572753906,225.0,224.58607482910156,1580100
2022-02-14,224.13999938964844,227.44000244140625,219.25,220.97999572753906,220.57347106933594,1422100
2022-02-15,225.38999938964844,226.3000030517578,220.30999755859375,221.72999572753906,221.3220977783203,1384800
2022-02-16,221.07000732421875,222.42999267578125,217.1699981689453,221.72999572753906,221.3220977783203,1867700
2022-02-17,220.35000610351562,220.69000244140625,211.88999938964844,212.0,211.61000061035156,1031600
2022-02-18,212.35000610351562,215.4499969482422,210.77999877929688,213.0399932861328,213.0399932861328,908500
2022-02-22,211.3800048828125,213.88999938964844,208.0800018310547,212.24000549316406,212.24000549316406,1325100
2022-02-23,213.74000549316406,214.8800048828125,207.99000549316406,208.16000366210938,208.16000366210938,2593500
2022-02-24,203.2100067138672,216.41000366210938,203.00999450683594,215.9199981689453,215.9199981689453,1732600
2022-02-25,215.94000244140625,218.74000549316406,213.35000610351562,218.55999755859375,218.55999755859375,1094200
2022-02-28,215.72999572753906,219.38999938964844,214.9199981689453,218.33999633789062,218.33999633789062,1121300
2022-03-01,218.72999572753906,221.52999877929688,215.8300018310547,219.0399932861328,219.0399932861328,1057900
2022-03-02,220.3699951171875,226.0399932861328,220.3699951171875,224.57000732421875,224.57000732421875,870700
2022-03-03,226.5800018310547,227.10000610351562,221.24000549316406,224.2100067138672,224.2100067138672,818000
2022-03-04,222.1699981689453,228.4499969482422,221.57000732421875,227.6699981689453,227.6699981689453,965700
2022-03-07,227.44000244140625,228.25999450683594,217.5,217.8300018310547,217.8300018310547,1132200
2022-03-08,216.30999755859375,220.83999633789062,215.05999755859375,217.25999450683594,217.25999450683594,734014
